Symptoms,Disease
seizures,open wound of the mouth
tongue lesions,open wound of the mouth
toothache,open wound of the mouth
abnormal appearing skin,open wound of the neck
ache all over,open wound of the neck
peripheral edema,open wound of the neck
skin lesion,open wound of the neck
skin swelling,open wound of the neck
abusing alcohol,open wound of the shoulder
arm pain,open wound of the shoulder
shoulder pain,open wound of the shoulder
antisocial behavior,oppositional disorder
depressive or psychotic symptoms,oppositional disorder
excessive anger,oppositional disorder
fainting,oppositional disorder
hostile behavior,oppositional disorder
low self-esteem,oppositional disorder
low urine output,oppositional disorder
obsessions and compulsions,oppositional disorder
restlessness,oppositional disorder
temper problems,oppositional disorder
blindness,optic neuritis
diminished vision,optic neuritis
headache,optic neuritis
retention of urine,optic neuritis
elbow weakness,oral leukoplakia
skin swelling,oral leukoplakia
tongue lesions,oral leukoplakia
cough,oral mucosal lesion
facial pain,oral mucosal lesion
fever,oral mucosal lesion
gum pain,oral mucosal lesion
lip swelling,oral mucosal lesion
mouth pain,oral mucosal lesion
mouth ulcer,oral mucosal lesion
sore throat,oral mucosal lesion
tongue lesions,oral mucosal lesion
toothache,oral mucosal lesion
constipation,oral thrush (yeast infection)
cough,oral thrush (yeast infection)
fever,oral thrush (yeast infection)
irritable infant,oral thrush (yeast infection)
mouth pain,oral thrush (yeast infection)
mouth ulcer,oral thrush (yeast infection)
nasal congestion,oral thrush (yeast infection)
skin rash,oral thrush (yeast infection)
sore throat,oral thrush (yeast infection)
tongue lesions,oral thrush (yeast infection)
diminished hearing,orbital cellulitis
eye redness,orbital cellulitis
fever,orbital cellulitis
pain in eye,orbital cellulitis
peripheral edema,orbital cellulitis
swollen eye,orbital cellulitis
symptoms of eye,orbital cellulitis
abnormal involuntary movements,orthostatic hypotension
dizziness,orthostatic hypotension
fainting,orthostatic hypotension
feeling ill,orthostatic hypotension
headache,orthostatic hypotension
irregular heartbeat,orthostatic hypotension
sharp chest pain,orthostatic hypotension
weakness,orthostatic hypotension
ankle pain,osteoarthritis
back pain,osteoarthritis
elbow pain,osteoarthritis
hand or finger pain,osteoarthritis
hip pain,osteoarthritis
joint pain,osteoarthritis
knee pain,osteoarthritis
knee swelling,osteoarthritis
knee weakness,osteoarthritis
leg pain,osteoarthritis
muscle pain,osteoarthritis
abnormal appearing skin,osteochondroma
foot or toe pain,osteochondroma
knee pain,osteochondroma
lip swelling,osteochondroma
lower abdominal pain,osteochondroma
skin growth,osteochondroma
skin lesion,osteochondroma
ankle pain,osteochondrosis
bowlegged or knock-kneed,osteochondrosis
elbow pain,osteochondrosis
foot or toe pain,osteochondrosis
hand or finger pain,osteochondrosis
knee pain,osteochondrosis
back pain,osteoporosis
bones are painful,osteoporosis
disturbance of memory,osteoporosis
early or late onset of menopause,osteoporosis
hip pain,osteoporosis
joint pain,osteoporosis
leg cramps or spasms,osteoporosis
"muscle cramps, contractures, or spasms",osteoporosis
stomach bloating,osteoporosis
cough,otitis externa (swimmer's ear)
diminished hearing,otitis externa (swimmer's ear)
ear pain,otitis externa (swimmer's ear)
facial pain,otitis externa (swimmer's ear)
fever,otitis externa (swimmer's ear)
fluid in ear,otitis externa (swimmer's ear)
itchy ear(s),otitis externa (swimmer's ear)
plugged feeling in ear,otitis externa (swimmer's ear)
redness in ear,otitis externa (swimmer's ear)
ringing in ear,otitis externa (swimmer's ear)
sore throat,otitis externa (swimmer's ear)
coryza,otitis media
cough,otitis media
diminished hearing,otitis media
ear pain,otitis media
fever,otitis media
fluid in ear,otitis media
nasal congestion,otitis media
plugged feeling in ear,otitis media
pulling at ears,otitis media
sore throat,otitis media
vomiting,otitis media
diminished hearing,otosclerosis
dizziness,otosclerosis
emotional symptoms,otosclerosis
decreased appetite,ovarian cancer
groin mass,ovarian cancer
sharp abdominal pain,ovarian cancer
stomach bloating,ovarian cancer
burning abdominal pain,ovarian cyst
intermenstrual bleeding,ovarian cyst
lower abdominal pain,ovarian cyst
nausea,ovarian cyst
painful menstruation,ovarian cyst
pelvic pain,ovarian cyst
sharp abdominal pain,ovarian cyst
vaginal discharge,ovarian cyst
vomiting,ovarian cyst
ache all over,ovarian torsion
groin mass,ovarian torsion
lower abdominal pain,ovarian torsion
pelvic pain,ovarian torsion
sharp abdominal pain,ovarian torsion
skin swelling,ovarian torsion
blood in urine,overflow incontinence
hand or finger stiffness or tightness,overflow incontinence
impotence,overflow incontinence
involuntary urination,overflow incontinence
retention of urine,overflow incontinence
suprapubic pain,overflow incontinence
symptoms of bladder,overflow incontinence
back pain,pain after an operation
headache,pain after an operation
leg pain,pain after an operation
low back pain,pain after an operation
lower abdominal pain,pain after an operation
nausea,pain after an operation
neck pain,pain after an operation
sharp abdominal pain,pain after an operation
sharp chest pain,pain after an operation
side pain,pain after an operation
vomiting,pain after an operation
arm pain,pain disorder affecting the neck
back pain,pain disorder affecting the neck
disturbance of memory,pain disorder affecting the neck
dizziness,pain disorder affecting the neck
headache,pain disorder affecting the neck
insomnia,pain disorder affecting the neck
low back pain,pain disorder affecting the neck
neck pain,pain disorder affecting the neck
neck stiffness or tightness,pain disorder affecting the neck
ache all over,pancreatic cancer
arm swelling,pancreatic cancer
diarrhea,pancreatic cancer
jaundice,pancreatic cancer
nausea,pancreatic cancer
sharp abdominal pain,pancreatic cancer
stomach bloating,pancreatic cancer
anxiety and nervousness,panic attack
chest tightness,panic attack
irregular heartbeat,panic attack
loss of sensation,panic attack
sharp chest pain,panic attack
shortness of breath,panic attack
weakness,panic attack
abnormal involuntary movements,panic disorder
anxiety and nervousness,panic disorder
breathing fast,panic disorder
chest tightness,panic disorder
depression,panic disorder
depressive or psychotic symptoms,panic disorder
dizziness,panic disorder
insomnia,panic disorder
irregular heartbeat,panic disorder
palpitations,panic disorder
shortness of breath,panic disorder
abnormal appearing skin,parasitic disease
cough,parasitic disease
hand or finger swelling,parasitic disease
retention of urine,parasitic disease
sharp abdominal pain,parasitic disease
skin rash,parasitic disease
anxiety and nervousness,parathyroid adenoma
disturbance of memory,parathyroid adenoma
shoulder pain,parathyroid adenoma
throat feels tight,parathyroid adenoma
abnormal involuntary movements,parkinson disease
difficulty speaking,parkinson disease
disturbance of memory,parkinson disease
dizziness,parkinson disease
focal weakness,parkinson disease
leg stiffness or tightness,parkinson disease
problems with movement,parkinson disease
stiffness all over,parkinson disease
weakness,parkinson disease
chest tightness,paroxysmal supraventricular tachycardia
dizziness,paroxysmal supraventricular tachycardia
increased heart rate,paroxysmal supraventricular tachycardia
involuntary urination,paroxysmal supraventricular tachycardia
irregular heartbeat,paroxysmal supraventricular tachycardia
palpitations,paroxysmal supraventricular tachycardia
sharp chest pain,paroxysmal supraventricular tachycardia
shortness of breath,paroxysmal supraventricular tachycardia
weakness,paroxysmal supraventricular tachycardia
chest tightness,paroxysmal ventricular tachycardia
decreased heart rate,paroxysmal ventricular tachycardia
dizziness,paroxysmal ventricular tachycardia
fainting,paroxysmal ventricular tachycardia
fatigue,paroxysmal ventricular tachycardia
increased heart rate,paroxysmal ventricular tachycardia
irregular heartbeat,paroxysmal ventricular tachycardia
sharp chest pain,paroxysmal ventricular tachycardia
shortness of breath,paroxysmal ventricular tachycardia
weight gain,paroxysmal ventricular tachycardia
dizziness,pelvic fistula
elbow weakness,pelvic fistula
vaginal discharge,pelvic fistula
back pain,pelvic inflammatory disease
burning abdominal pain,pelvic inflammatory disease
intermenstrual bleeding,pelvic inflammatory disease
lower abdominal pain,pelvic inflammatory disease
nausea,pelvic inflammatory disease
painful urination,pelvic inflammatory disease
pelvic pain,pelvic inflammatory disease
sharp abdominal pain,pelvic inflammatory disease
suprapubic pain,pelvic inflammatory disease
vaginal discharge,pelvic inflammatory disease
vomiting,pelvic inflammatory disease
blood in urine,pelvic organ prolapse
frequent urination,pelvic organ prolapse
intermenstrual bleeding,pelvic organ prolapse
involuntary urination,pelvic organ prolapse
retention of urine,pelvic organ prolapse
suprapubic pain,pelvic organ prolapse
symptoms of bladder,pelvic organ prolapse
vaginal discharge,pelvic organ prolapse
vaginal pain,pelvic organ prolapse
abnormal appearing skin,pemphigus
hand or finger pain,pemphigus
skin lesion,pemphigus
chest tightness,pericarditis
lower body pain,pericarditis
palpitations,pericarditis
sharp abdominal pain,pericarditis
sharp chest pain,pericarditis
shortness of breath,pericarditis
abnormal appearing skin,peripheral arterial embolism
knee swelling,peripheral arterial embolism
leg pain,peripheral arterial embolism
leg swelling,peripheral arterial embolism
loss of sensation,peripheral arterial embolism
paresthesia,peripheral arterial embolism
abnormal appearing skin,perirectal infection
pain in testicles,perirectal infection
pain of the anus,perirectal infection
skin lesion,perirectal infection
skin swelling,perirectal infection
swelling of scrotum,perirectal infection
back pain,peritonitis
groin mass,peritonitis
intermenstrual bleeding,peritonitis
nausea,peritonitis
sharp abdominal pain,peritonitis
shortness of breath,peritonitis
side pain,peritonitis
vomiting,peritonitis
difficulty in swallowing,peritonsillar abscess
ear pain,peritonsillar abscess
headache,peritonsillar abscess
sore throat,peritonsillar abscess
swollen lymph nodes,peritonsillar abscess
throat feels tight,peritonsillar abscess
throat swelling,peritonsillar abscess
abnormal involuntary movements,persistent vomiting of unknown cause
diarrhea,persistent vomiting of unknown cause
dizziness,persistent vomiting of unknown cause
fever,persistent vomiting of unknown cause
nausea,persistent vomiting of unknown cause
sharp abdominal pain,persistent vomiting of unknown cause
vomiting,persistent vomiting of unknown cause
emotional symptoms,peyronie disease
impotence,peyronie disease
mass in scrotum,peyronie disease
penis pain,peyronie disease
symptoms of prostate,peyronie disease
cough,pharyngitis
fever,pharyngitis
hoarse voice,pharyngitis
sore throat,pharyngitis
wheezing,pharyngitis
ache all over,pilonidal cyst
bones are painful,pilonidal cyst
irregular appearing scalp,pilonidal cyst
lower body pain,pilonidal cyst
pain of the anus,pilonidal cyst
pelvic pain,pilonidal cyst
skin growth,pilonidal cyst
skin swelling,pilonidal cyst
headache,pinguecula
itching of scrotum,pinguecula
lacrimation,pinguecula
symptoms of eye,pinguecula
constipation,pinworm infection
itching of the anus,pinworm infection
pain of the anus,pinworm infection
painful urination,pinworm infection
retention of urine,pinworm infection
sharp abdominal pain,pinworm infection
headache,pituitary adenoma
muscle swelling,pituitary adenoma
nausea,pituitary adenoma
pain in eye,pituitary adenoma
headache,pituitary disorder
hot flashes,pituitary disorder
lack of growth,pituitary disorder
pain in eye,pituitary disorder
abnormal appearing skin,pityriasis rosea
itching of skin,pityriasis rosea
skin rash,pityriasis rosea
skin swelling,pityriasis rosea
vaginal itching,pityriasis rosea
warts,pityriasis rosea
emotional symptoms,placental abruption
nausea,placental abruption
spotting or bleeding during pregnancy,placental abruption
uterine contractions,placental abruption
ankle pain,plantar fasciitis
ankle swelling,plantar fasciitis
bones are painful,plantar fasciitis
foot or toe pain,plantar fasciitis
knee pain,plantar fasciitis
muscle pain,plantar fasciitis
problems with movement,plantar fasciitis
chills,pneumonia
coryza,pneumonia
cough,pneumonia
difficulty breathing,pneumonia
fever,pneumonia
nasal congestion,pneumonia
sharp chest pain,pneumonia
shortness of breath,pneumonia
sore throat,pneumonia
vomiting,pneumonia
weakness,pneumonia
wheezing,pneumonia
abusing alcohol,poisoning due to analgesics
depression,poisoning due to analgesics
depressive or psychotic symptoms,poisoning due to analgesics
problems during pregnancy,poisoning due to analgesics
skin swelling,poisoning due to analgesics
vomiting,poisoning due to analgesics
depression,poisoning due to anticonvulsants
difficulty speaking,poisoning due to anticonvulsants
dizziness,poisoning due to anticonvulsants
problems with movement,poisoning due to anticonvulsants
abusing alcohol,poisoning due to antidepressants
depression,poisoning due to antidepressants
drug abuse,poisoning due to antidepressants
emotional symptoms,poisoning due to antidepressants
depressive or psychotic symptoms,poisoning due to antihypertensives
sharp abdominal pain,poisoning due to antihypertensives
weakness,poisoning due to antihypertensives
abnormal involuntary movements,poisoning due to antimicrobial drugs
allergic reaction,poisoning due to antimicrobial drugs
peripheral edema,poisoning due to antimicrobial drugs
problems with movement,poisoning due to antimicrobial drugs
shortness of breath,poisoning due to antimicrobial drugs
skin rash,poisoning due to antimicrobial drugs
abusing alcohol,poisoning due to ethylene glycol
depression,poisoning due to ethylene glycol
depressive or psychotic symptoms,poisoning due to ethylene glycol
fainting,poisoning due to ethylene glycol
cough,poisoning due to gas
dizziness,poisoning due to gas
drainage in throat,poisoning due to gas
headache,poisoning due to gas
sharp chest pain,poisoning due to gas
shortness of breath,poisoning due to gas
wheezing,poisoning due to gas
depression,poisoning due to sedatives
depressive or psychotic symptoms,poisoning due to sedatives
drug abuse,poisoning due to sedatives
hostile behavior,poisoning due to sedatives
insomnia,poisoning due to sedatives
sleepiness,poisoning due to sedatives
back pain,polycystic kidney disease
blood in urine,polycystic kidney disease
kidney mass,polycystic kidney disease
low back pain,polycystic kidney disease
retention of urine,polycystic kidney disease
sharp abdominal pain,polycystic kidney disease
side pain,polycystic kidney disease
skin growth,polycystic kidney disease
absence of menstruation,polycystic ovarian syndrome (pcos)
hot flashes,polycystic ovarian syndrome (pcos)
infertility,polycystic ovarian syndrome (pcos)
intermenstrual bleeding,polycystic ovarian syndrome (pcos)
long menstrual periods,polycystic ovarian syndrome (pcos)
pelvic pain,polycystic ovarian syndrome (pcos)
unpredictable menstruation,polycystic ovarian syndrome (pcos)
weight gain,polycystic ovarian syndrome (pcos)
dizziness,polycythemia vera
fatigue,polycythemia vera
headache,polycythemia vera
symptoms of eye,polycythemia vera
weight gain,polycythemia vera
difficulty in swallowing,polymyalgia rheumatica
fatigue,polymyalgia rheumatica
irregular heartbeat,polymyalgia rheumatica
leg pain,polymyalgia rheumatica
sharp chest pain,polymyalgia rheumatica
shoulder pain,polymyalgia rheumatica
abnormal appearing skin,postoperative infection
fever,postoperative infection
jaw swelling,postoperative infection
sharp abdominal pain,postoperative infection
skin on leg or foot looks infected,postoperative infection
skin swelling,postoperative infection
anxiety and nervousness,postpartum depression
delusions or hallucinations,postpartum depression
depression,postpartum depression
depressive or psychotic symptoms,postpartum depression
drug abuse,postpartum depression
excessive anger,postpartum depression
intermenstrual bleeding,postpartum depression
pain during pregnancy,postpartum depression
problems during pregnancy,postpartum depression
abusing alcohol,post-traumatic stress disorder (ptsd)
anxiety and nervousness,post-traumatic stress disorder (ptsd)
delusions or hallucinations,post-traumatic stress disorder (ptsd)
depression,post-traumatic stress disorder (ptsd)
depressive or psychotic symptoms,post-traumatic stress disorder (ptsd)
drug abuse,post-traumatic stress disorder (ptsd)
excessive anger,post-traumatic stress disorder (ptsd)
hostile behavior,post-traumatic stress disorder (ptsd)
insomnia,post-traumatic stress disorder (ptsd)
temper problems,post-traumatic stress disorder (ptsd)
headache,preeclampsia
lower abdominal pain,preeclampsia
pain during pregnancy,preeclampsia
problems during pregnancy,preeclampsia
recent pregnancy,preeclampsia
sharp abdominal pain,preeclampsia
spots or clouds in vision,preeclampsia
uterine contractions,preeclampsia
vaginal redness,preeclampsia
dizziness,premature atrial contractions (pacs)
fainting,premature atrial contractions (pacs)
fatigue,premature atrial contractions (pacs)
irregular heartbeat,premature atrial contractions (pacs)
muscle swelling,premature atrial contractions (pacs)
palpitations,premature atrial contractions (pacs)
shortness of breath,premature atrial contractions (pacs)
absence of menstruation,premature ovarian failure
infertility,premature ovarian failure
lack of growth,premature ovarian failure
pelvic pain,premature ovarian failure
weight gain,premature ovarian failure
chest tightness,premature ventricular contractions (pvcs)
fainting,premature ventricular contractions (pvcs)
impotence,premature ventricular contractions (pvcs)
irregular heartbeat,premature ventricular contractions (pvcs)
palpitations,premature ventricular contractions (pvcs)
sharp chest pain,premature ventricular contractions (pvcs)
shortness of breath,premature ventricular contractions (pvcs)
sleepiness,premature ventricular contractions (pvcs)
back pain,premenstrual tension syndrome
depressive or psychotic symptoms,premenstrual tension syndrome
headache,premenstrual tension syndrome
lower abdominal pain,premenstrual tension syndrome
premenstrual tension or irritability,premenstrual tension syndrome
unpredictable menstruation,premenstrual tension syndrome
diminished hearing,presbyacusis
dizziness,presbyacusis
ear pain,presbyacusis
emotional symptoms,presbyacusis
ringing in ear,presbyacusis
abnormal movement of eyelid,presbyopia
difficulty speaking,presbyopia
diminished vision,presbyopia
foreign body sensation in eye,presbyopia
pain in eye,presbyopia
spots or clouds in vision,presbyopia
symptoms of eye,presbyopia
abusing alcohol,priapism
elbow weakness,priapism
painful urination,priapism
penis pain,priapism
arm stiffness or tightness,primary immunodeficiency
cough,primary immunodeficiency
decreased appetite,primary immunodeficiency
fatigue,primary immunodeficiency
frontal headache,primary immunodeficiency
abnormal breathing sounds,primary insomnia
abnormal involuntary movements,primary insomnia
anxiety and nervousness,primary insomnia
delusions or hallucinations,primary insomnia
fatigue,primary insomnia
insomnia,primary insomnia
sleepiness,primary insomnia
blood in urine,primary kidney disease
impotence,primary kidney disease
lack of growth,primary kidney disease
peripheral edema,primary kidney disease
symptoms of the kidneys,primary kidney disease
dizziness,primary thrombocythemia
fatigue,primary thrombocythemia
flatulence,primary thrombocythemia
back pain,problem during pregnancy
cramps and spasms,problem during pregnancy
headache,problem during pregnancy
lower abdominal pain,problem during pregnancy
nausea,problem during pregnancy
pain during pregnancy,problem during pregnancy
pelvic pain,problem during pregnancy
problems during pregnancy,problem during pregnancy
sharp abdominal pain,problem during pregnancy
spotting or bleeding during pregnancy,problem during pregnancy
vomiting,problem during pregnancy
back pain,prostatitis
blood in urine,prostatitis
chills,prostatitis
fever,prostatitis
frequent urination,prostatitis
impotence,prostatitis
lower abdominal pain,prostatitis
painful urination,prostatitis
retention of urine,prostatitis
sharp abdominal pain,prostatitis
depression,protein deficiency
nausea,protein deficiency
smoking problems,protein deficiency
vomiting,protein deficiency
weakness,protein deficiency
elbow weakness,pseudohypoparathyroidism
knee pain,pseudohypoparathyroidism
leg pain,pseudohypoparathyroidism
wrist pain,pseudohypoparathyroidism
abnormal appearing skin,psoriasis
irregular appearing scalp,psoriasis
itching of skin,psoriasis
itchy scalp,psoriasis
joint pain,psoriasis
"skin dryness, peeling, scaliness, or roughness",psoriasis
skin growth,psoriasis
skin lesion,psoriasis
skin moles,psoriasis
skin rash,psoriasis
skin swelling,psoriasis
depression,psychosexual disorder
fatigue,psychosexual disorder
impotence,psychosexual disorder
involuntary urination,psychosexual disorder
loss of sex drive,psychosexual disorder
pain during intercourse,psychosexual disorder
premature ejaculation,psychosexual disorder
abusing alcohol,psychotic disorder
anxiety and nervousness,psychotic disorder
delusions or hallucinations,psychotic disorder
depression,psychotic disorder
depressive or psychotic symptoms,psychotic disorder
excessive anger,psychotic disorder
fears and phobias,psychotic disorder
hostile behavior,psychotic disorder
hysterical behavior,psychotic disorder
insomnia,psychotic disorder
temper problems,psychotic disorder
acne or pimples,pterygium
diminished vision,pterygium
eye redness,pterygium
foreign body sensation in eye,pterygium
lacrimation,pterygium
spots or clouds in vision,pterygium
symptoms of eye,pterygium
chest tightness,pulmonary congestion
cough,pulmonary congestion
decreased heart rate,pulmonary congestion
fever,pulmonary congestion
leg swelling,pulmonary congestion
nasal congestion,pulmonary congestion
sharp chest pain,pulmonary congestion
shortness of breath,pulmonary congestion
weakness,pulmonary congestion
cough,pulmonary eosinophilia
dizziness,pulmonary eosinophilia
fever,pulmonary eosinophilia
nasal congestion,pulmonary eosinophilia
paresthesia,pulmonary eosinophilia
sharp chest pain,pulmonary eosinophilia
shortness of breath,pulmonary eosinophilia
chest tightness,pulmonary fibrosis
cough,pulmonary fibrosis
difficulty breathing,pulmonary fibrosis
fainting,pulmonary fibrosis
fever,pulmonary fibrosis
sharp chest pain,pulmonary fibrosis
shortness of breath,pulmonary fibrosis
apnea,pulmonary hypertension
cough,pulmonary hypertension
difficulty breathing,pulmonary hypertension
fatigue,pulmonary hypertension
feeling ill,pulmonary hypertension
hemoptysis,pulmonary hypertension
palpitations,pulmonary hypertension
sharp chest pain,pulmonary hypertension
shortness of breath,pulmonary hypertension
emotional symptoms,pulmonic valve disease
shortness of breath,pulmonic valve disease
back pain,pyelonephritis
blood in urine,pyelonephritis
frequent urination,pyelonephritis
low back pain,pyelonephritis
lower abdominal pain,pyelonephritis
nausea,pyelonephritis
painful urination,pyelonephritis
sharp abdominal pain,pyelonephritis
side pain,pyelonephritis
suprapubic pain,pyelonephritis
vomiting,pyelonephritis
arm stiffness or tightness,pyloric stenosis
cough,pyloric stenosis
vomiting,pyloric stenosis
abnormal appearing skin,pyogenic skin infection
foot or toe pain,pyogenic skin infection
foot or toe swelling,pyogenic skin infection
hand or finger pain,pyogenic skin infection
hand or finger swelling,pyogenic skin infection
leg pain,pyogenic skin infection
leg swelling,pyogenic skin infection
peripheral edema,pyogenic skin infection
skin lesion,pyogenic skin infection
skin rash,pyogenic skin infection
skin swelling,pyogenic skin infection
hand or finger pain,raynaud disease
hand or finger swelling,raynaud disease
loss of sensation,raynaud disease
hip pain,reactive arthritis
knee lump or mass,reactive arthritis
blood in stool,rectal disorder
burning abdominal pain,rectal disorder
constipation,rectal disorder
cramps and spasms,rectal disorder
diarrhea,rectal disorder
heartburn,rectal disorder
itching of the anus,rectal disorder
melena,rectal disorder
pain of the anus,rectal disorder
rectal bleeding,rectal disorder
sharp abdominal pain,rectal disorder
abnormal involuntary movements,restless leg syndrome
apnea,restless leg syndrome
depression,restless leg syndrome
fatigue,restless leg syndrome
headache,restless leg syndrome
insomnia,restless leg syndrome
leg pain,restless leg syndrome
sleepiness,restless leg syndrome
blindness,retinal detachment
diminished vision,retinal detachment
double vision,retinal detachment
itchiness of eye,retinal detachment
lacrimation,retinal detachment
pain in eye,retinal detachment
spots or clouds in vision,retinal detachment
symptoms of eye,retinal detachment
diminished vision,retinopathy due to high blood pressure
foreign body sensation in eye,retinopathy due to high blood pressure
pain in eye,retinopathy due to high blood pressure
pus draining from ear,retinopathy due to high blood pressure
spots or clouds in vision,retinopathy due to high blood pressure
symptoms of eye,retinopathy due to high blood pressure
ache all over,rheumatoid arthritis
elbow swelling,rheumatoid arthritis
hand or finger pain,rheumatoid arthritis
hand or finger swelling,rheumatoid arthritis
joint pain,rheumatoid arthritis
joint swelling,rheumatoid arthritis
knee pain,rheumatoid arthritis
peripheral edema,rheumatoid arthritis
wrist pain,rheumatoid arthritis
wrist swelling,rheumatoid arthritis
abnormal appearing skin,rosacea
acne or pimples,rosacea
itching of skin,rosacea
lymphedema,rosacea
"skin dryness, peeling, scaliness, or roughness",rosacea
skin growth,rosacea
skin lesion,rosacea
skin moles,rosacea
skin swelling,rosacea
symptoms of eye,rosacea
arm pain,rotator cuff injury
arm stiffness or tightness,rotator cuff injury
hand or finger stiffness or tightness,rotator cuff injury
shoulder pain,rotator cuff injury
shoulder stiffness or tightness,rotator cuff injury
shoulder weakness,rotator cuff injury
cough,salivary gland disorder
sore throat,salivary gland disorder
swollen lymph nodes,salivary gland disorder
throat feels tight,salivary gland disorder
chest tightness,sarcoidosis
cough,sarcoidosis
facial pain,sarcoidosis
headache,sarcoidosis
pain in eye,sarcoidosis
peripheral edema,sarcoidosis
sharp chest pain,sarcoidosis
shortness of breath,sarcoidosis
abnormal appearing skin,scabies
foot or toe swelling,scabies
itching of skin,scabies
problems during pregnancy,scabies
skin rash,scabies
skin swelling,scabies
unpredictable menstruation,scabies
cough,scarlet fever
fever,scarlet fever
skin rash,scarlet fever
skin swelling,scarlet fever
sore throat,scarlet fever
throat swelling,scarlet fever
anxiety and nervousness,schizophrenia
delusions or hallucinations,schizophrenia
depression,schizophrenia
depressive or psychotic symptoms,schizophrenia
excessive anger,schizophrenia
fears and phobias,schizophrenia
hostile behavior,schizophrenia
hysterical behavior,schizophrenia
insomnia,schizophrenia
low self-esteem,schizophrenia
temper problems,schizophrenia
back cramps or spasms,sciatica
hip pain,sciatica
leg cramps or spasms,sciatica
leg pain,sciatica
leg weakness,sciatica
loss of sensation,sciatica
low back pain,sciatica
lower body pain,sciatica
problems with movement,sciatica
unusual color or odor to urine,sciatica
abnormal involuntary movements,scleritis
eye redness,scleritis
headache,scleritis
pain in eye,scleritis
spots or clouds in vision,scleritis
abnormal appearing skin,scleroderma
feeling ill,scleroderma
itching of skin,scleroderma
lip swelling,scleroderma
"skin dryness, peeling, scaliness, or roughness",scleroderma
skin growth,scleroderma
skin irritation,scleroderma
skin lesion,scleroderma
knee lump or mass,scurvy
sharp abdominal pain,scurvy
allergic reaction,seasonal allergies (hay fever)
coryza,seasonal allergies (hay fever)
cough,seasonal allergies (hay fever)
ear pain,seasonal allergies (hay fever)
frontal headache,seasonal allergies (hay fever)
headache,seasonal allergies (hay fever)
itchiness of eye,seasonal allergies (hay fever)
lacrimation,seasonal allergies (hay fever)
nasal congestion,seasonal allergies (hay fever)
sneezing,seasonal allergies (hay fever)
sore throat,seasonal allergies (hay fever)
abnormal appearing skin,seborrheic dermatitis
acne or pimples,seborrheic dermatitis
dry or flaky scalp,seborrheic dermatitis
irregular appearing scalp,seborrheic dermatitis
itching of skin,seborrheic dermatitis
"skin dryness, peeling, scaliness, or roughness",seborrheic dermatitis
skin growth,seborrheic dermatitis
skin lesion,seborrheic dermatitis
skin rash,seborrheic dermatitis
symptoms of the face,seborrheic dermatitis
too little hair,seborrheic dermatitis
diminished hearing,sensorineural hearing loss
dizziness,sensorineural hearing loss
ear pain,sensorineural hearing loss
fluid in ear,sensorineural hearing loss
hoarse voice,sensorineural hearing loss
itchy ear(s),sensorineural hearing loss
nasal congestion,sensorineural hearing loss
plugged feeling in ear,sensorineural hearing loss
ringing in ear,sensorineural hearing loss
throat feels tight,sensorineural hearing loss
chills,sepsis
cough,sepsis
decreased appetite,sepsis
difficulty breathing,sepsis
feeling ill,sepsis
fever,sepsis
sharp abdominal pain,sepsis
shortness of breath,sepsis
suprapubic pain,sepsis
vomiting,sepsis
weakness,sepsis
decreased heart rate,sick sinus syndrome
dizziness,sick sinus syndrome
fainting,sick sinus syndrome
increased heart rate,sick sinus syndrome
irregular heartbeat,sick sinus syndrome
palpitations,sick sinus syndrome
shortness of breath,sick sinus syndrome
weakness,sick sinus syndrome
ache all over,sickle cell anemia
back pain,sickle cell anemia
dry lips,sickle cell anemia
fever,sickle cell anemia
joint pain,sickle cell anemia
leg pain,sickle cell anemia
pulling at ears,sickle cell anemia
temper problems,sickle cell anemia
ache all over,sickle cell crisis
arm pain,sickle cell crisis
back pain,sickle cell crisis
burning abdominal pain,sickle cell crisis
hip pain,sickle cell crisis
knee pain,sickle cell crisis
leg pain,sickle cell crisis
low back pain,sickle cell crisis
sharp abdominal pain,sickle cell crisis
sharp chest pain,sickle cell crisis
vomiting,sickle cell crisis
chest tightness,sinus bradycardia
decreased heart rate,sinus bradycardia
dizziness,sinus bradycardia
fainting,sinus bradycardia
feeling ill,sinus bradycardia
increased heart rate,sinus bradycardia
irregular heartbeat,sinus bradycardia
palpitations,sinus bradycardia
sharp chest pain,sinus bradycardia
shortness of breath,sinus bradycardia
weakness,sinus bradycardia
abnormal appearing skin,skin disorder
acne or pimples,skin disorder
irregular appearing scalp,skin disorder
itching of skin,skin disorder
"skin dryness, peeling, scaliness, or roughness",skin disorder
skin growth,skin disorder
skin irritation,skin disorder
skin lesion,skin disorder
skin moles,skin disorder
skin swelling,skin disorder
abnormal appearing skin,skin polyp
acne or pimples,skin polyp
irregular appearing scalp,skin polyp
itching of skin,skin polyp
"skin dryness, peeling, scaliness, or roughness",skin polyp
skin growth,skin polyp
skin irritation,skin polyp
skin lesion,skin polyp
skin moles,skin polyp
skin swelling,skin polyp
warts,skin polyp
abusing alcohol,smoking or tobacco addiction
cough,smoking or tobacco addiction
coughing up sputum,smoking or tobacco addiction
drug abuse,smoking or tobacco addiction
excessive anger,smoking or tobacco addiction
headache,smoking or tobacco addiction
hemoptysis,smoking or tobacco addiction
hurts to breath,smoking or tobacco addiction
sharp chest pain,smoking or tobacco addiction
shortness of breath,smoking or tobacco addiction
smoking problems,smoking or tobacco addiction
